"Source:","D:\Users\James B\Documents\Beech Projects\PCB Design\Stepper motor controller\Stepper motor controller V2.sch"
"Date:","30/01/2020 10:25:07"
"Tool:","Eeschema (5.1.0)-1"
"Component Count:","31"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"A1","Pololu_Breakout_A4988","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2980/pictures","",""
"C1","1.0uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C2","2.2uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C3","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C4","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C5","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C6","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C7","100uF","Capacitor_SMD:CP_Elec_6.3x5.9","~","",""
"C9","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C10","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C18","470pF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C19","10uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C20","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C21","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C22","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"D1","LED","LED_SMD:LED_PLCC-2","~","",""
"J1","Conn_01x02_Male","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~","",""
"J2","Conn_01x04_Female","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","~","",""
"J3","Conn_01x03_Female","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","~","",""
"J4","AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"," ~","",""
"JP1","SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm","~","",""
"R1","1M","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"R6","270R","Resistor_SMD:R_0805_2012Metric","~","",""
"R7","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R8","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R9","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"R10","10K","Resistor_SMD:R_0805_2012Metric","~","",""
"U1","ATmega328P-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","",""
"U2","AP2204R-5.0","Package_TO_SOT_SMD:SOT-89-3","https://www.diodes.com/assets/Datasheets/AP2204.pdf","",""
"U4","AS5048B","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://ams.com/documents/20143/36005/AS5048_DS000298_4-00.pdf","",""
"Y1","Crystal_GND2","Crystal:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering","~","",""
